timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
117924154342,0,0,-6,0,-2,-3,-1,-1
117924154342,-3,-4,21,-3,-1,-3,-4,-13
117924168480,1,3,0,5,3,-2,-3,-1
117924168480,2,1,-4,0,-3,1,0,2
117924169400,-2,-1,35,-1,2,-1,0,4
117924169400,0,-4,-67,-2,-1,0,1,1
117924182702,-4,-1,2,-4,-3,-2,-1,-2
117924182702,1,0,6,0,1,1,1,-1
117924190375,-1,0,-6,-2,0,0,-2,-3
117924190375,2,0,12,6,1,-2,-2,2
117924206012,-2,1,5,-11,-2,1,0,-3
117924206012,-2,-7,-16,-6,-5,-5,-2,-1
117924206784,0,1,-8,-3,-2,-4,-1,-2
117924206784,-1,-2,11,1,-4,-1,0,-1
117924219789,-1,-3,-23,10,3,-2,0,4
117924219789,3,5,10,6,6,0,-2,-2
117924235470,-2,0,2,-15,-11,-3,-2,-4
117924235470,0,-4,1,-8,1,-2,1,2
117924242881,-2,-5,-4,3,0,0,-1,-5
117924242881,3,4,-1,0,1,1,-1,2
117924243620,1,-3,-13,5,1,-1,-2,-2
117924243620,-4,1,8,0,1,-1,0,0
117924266058,-3,-2,4,-4,0,-2,-2,-1
117924266058,0,-2,-9,-3,-6,-4,-4,-9
117924272957,2,2,6,3,0,-1,1,1
117924272957,-13,-6,3,-3,-3,-1,0,-2
117924279681,-3,-5,-12,4,-3,-2,0,1
117924279681,1,-1,-6,6,6,0,0,1
117924287888,-1,1,34,-10,-2,0,-1,-1
117924287888,2,0,-19,-3,-3,-1,-1,2
117924302823,-1,-1,4,-3,-2,-3,-1,-3
117924302823,-7,2,8,4,0,-1,0,-7
117924303631,-1,-12,-17,1,5,-1,-2,2
117924303631,0,-2,5,1,-3,-1,-1,0
117924325971,-1,1,0,-1,-2,-1,-1,-2
117924325971,2,1,-3,-3,-4,-1,0,3
117924326756,-2,-2,-14,2,3,-1,1,-2
117924326756,2,-1,3,1,-1,-1,-1,-2
117924348943,0,-1,-4,1,-1,-1,-1,-1
117924348943,2,2,30,-1,-2,1,1,2
117924349744,-5,-5,-51,0,-6,-2,-2,2
117924349744,-1,3,3,-1,2,-1,-2,-10
117924362753,-1,-6,13,-4,-2,-1,0,0
117924362753,-6,-2,3,-2,-3,-1,-2,0
117924363515,-1,2,7,3,0,1,-1,-1
117924363515,0,0,0,1,0,-1,0,3
117924386071,1,3,1,-2,-4,-3,-1,-2
117924386071,1,-5,-12,-4,-4,0,-1,-2
117924386754,-5,-3,4,7,-1,-2,-1,-1
117924386754,2,1,-2,-15,-3,0,-2,1
117924408505,-4,-1,7,6,4,-1,-2,-2
117924408505,-1,-3,-23,-2,-2,0,-1,2
117924409288,-1,5,14,-6,-3,-2,-1,-3
117924409288,0,-6,-6,6,0,-1,-2,-3
117924422942,-2,2,-1,0,0,0,0,-1
117924422942,0,1,-1,-3,0,-1,-1,1
117924423550,0,-1,3,0,2,0,-2,-1
117924423550,-4,-4,1,-3,-3,-2,-2,-8
117924445279,-2,1,-2,-1,-3,-2,-2,3
117924445279,3,-1,-6,-3,-2,-1,-1,-2
117924446061,-4,-2,3,-2,2,-2,1,3
117924446061,2,5,3,-1,0,0,-2,-9
117924468642,-3,-4,-2,0,-3,-2,-1,-3
117924468642,-1,-1,2,0,-2,0,1,0
117924469442,1,1,-1,-3,-2,-3,0,2
117924469442,1,0,0,1,0,-3,-1,4
117924491010,0,2,-3,2,0,-1,-1,-2
117924491010,1,-2,15,0,-1,-1,-1,-1
117924491782,2,-4,-34,-3,-3,1,0,0
117924491782,-8,-3,8,2,-1,0,-1,3
117924505265,2,-1,12,-1,0,0,-1,-2
117924505265,-3,-2,-11,-1,-1,-1,-1,-1
117924506068,4,3,13,1,-3,1,-1,-4
117924506068,-6,-1,7,8,1,-1,-1,2
117924528473,-2,-11,-28,-14,1,2,0,-1
117924528473,0,-1,15,3,-1,-3,-3,-1
117924529287,1,2,12,4,-1,1,-1,-1
117924529287,6,4,16,-1,-8,-2,1,2
117924542818,-3,0,-12,15,7,0,-3,-2
117924542818,-2,2,-5,-34,-7,2,0,0
117924543622,-1,-4,0,18,11,0,0,-2
117924543622,3,-6,15,-31,-20,-2,1,3
117924565301,-1,-2,-15,12,0,-6,-1,-3
117924565301,0,-1,-24,29,-10,-6,-3,-3
117924566077,0,2,1,13,34,6,0,-1
117924566077,2,7,40,11,5,2,0,1
117924587558,-1,7,-18,-40,-36,-12,-3,-3
117924587558,-6,-23,-38,20,18,5,-3,-2
117924597191,-2,-5,-12,-49,-10,2,-2,1
117924597191,-4,-4,-23,-1,-5,-8,-1,-2
117924602806,2,7,21,13,13,5,3,0
117924602806,-2,3,2,0,-10,-13,-4,1
117924603583,-2,-3,9,27,-5,-4,-7,-4
117924603583,4,-5,-16,-3,17,-3,-5,1
117924625307,-7,-2,19,9,-11,13,11,0
117924625307,-3,-18,-23,-20,12,2,-11,-4
117924626073,-4,1,-6,-28,-25,-35,9,-1
117924626073,-5,6,24,1,-24,1,-11,-13
117924648552,5,6,-23,20,36,39,8,8
117924648552,3,10,70,-34,15,4,8,10
117924649306,1,4,18,9,-32,-19,-7,1
117924649306,-12,-19,-29,-43,-44,-98,-24,-10
117924662903,1,3,21,40,5,34,-30,-11
117924662903,1,-1,-30,-9,-5,59,38,2
117924663663,13,9,8,0,66,21,7,16
117924663663,5,15,18,38,22,-6,16,11
117924685287,-6,-21,-28,-3,-59,-46,-11,-6
117924685287,6,31,49,-28,-65,15,-5,-4
117924686052,-3,-18,-83,9,73,35,4,-6
117924686052,-10,-23,-2,10,-23,23,2,1
117924708521,3,13,0,-24,-23,-80,-12,0
117924708521,-8,-42,2,2,-16,3,-17,-13
117924709254,1,10,17,-9,-128,-84,-7,-5
117924709254,5,0,-30,2,110,-6,-4,-1
117924731007,-2,0,2,-14,-97,112,27,3
117924731007,6,15,3,43,107,18,28,8
117924731780,4,8,35,53,112,6,13,7
117924731780,0,7,-9,10,-77,-78,-13,2
117924745295,-3,2,10,-59,-98,-128,-28,0
117924745295,-15,-8,-35,-31,-100,-53,-23,-19
117924746069,-9,-17,-15,-26,-18,25,1,-7
117924746069,-1,1,2,-8,1,44,3,1
117924768569,0,-3,2,12,56,26,17,1
117924768569,1,0,-7,5,20,3,-7,4
117924769316,-4,-1,13,-11,-16,9,-7,-7
117924769316,3,6,5,15,10,26,10,0
117924782895,3,11,38,0,44,26,4,0
117924782895,-6,-22,-80,8,17,-24,-7,-1
117924783657,-5,4,43,-10,-35,-10,-7,-4
117924783657,2,1,14,-2,-13,24,3,0
117924813626,-1,-6,-34,12,44,-5,-2,-2
117924813626,1,17,26,7,-1,-16,-3,1
117924814334,-9,-11,-10,-8,-21,3,-2,-2
117924814334,-3,-3,-12,-6,-3,17,1,-3
117924837291,-3,-5,9,8,32,-5,0,-1
117924837291,1,10,14,6,-10,-16,-2,3
117924838099,4,20,-11,-15,-23,7,-5,-2
117924838099,0,10,11,8,20,10,7,2
117924851013,0,5,-26,-8,-1,-14,-7,-7
117924851013,7,-65,74,29,12,12,12,16
117924851781,6,11,-12,-3,3,0,-4,-2
117924851781,-7,-53,-33,-16,-3,8,4,-1
117924876627,-3,55,-18,4,2,-1,1,-1
117924876627,-1,16,-2,-7,-5,-6,-3,-5
117924876648,1,-22,-13,0,-2,-2,0,2
117924876648,34,-30,53,5,0,2,3,26
117924888476,-37,-8,28,5,17,19,12,-16
117924888476,-4,35,4,6,7,-6,-2,-8
117924889327,-1,17,18,1,-7,-2,-1,3
