timestamp,roll,pitch,yaw
117647425891,-0.848428,0.071507,-0.776357
117647448352,-0.848851,0.0702792,-0.77674
117647463282,-0.849016,0.0686,-0.777439
117647500843,-0.84997,0.0667126,-0.778211
117647503161,-0.85059,0.0647439,-0.778882
117647546512,-0.850269,0.0627538,-0.779325
117647548929,-0.850586,0.0606723,-0.780164
117647566807,-0.851054,0.058879,-0.781166
117647590905,-0.850778,0.0574438,-0.782031
117647613381,-0.851187,0.0564632,-0.782527
117647635817,-0.850881,0.0554348,-0.783139
117647643477,-0.84974,0.054468,-0.783751
117647665894,-0.848934,0.0536949,-0.78423
117647686834,-0.850114,0.0532701,-0.785158
117647703276,-0.852693,0.0528023,-0.786058
117647725880,-0.854041,0.0526169,-0.787279
117647746847,-0.854327,0.0526363,-0.787924
117647770764,-0.854994,0.0528244,-0.788596
117647785822,-0.857411,0.0530009,-0.789473
117647823868,-0.862024,0.0526858,-0.790622
117647826398,-0.865099,0.0517075,-0.791996
117647845835,-0.867109,0.0502473,-0.792763
117647867101,-0.870606,0.0478496,-0.792239
117647882678,-0.875438,0.0436476,-0.78854
117647905686,-0.877072,0.0381629,-0.776394
117647928371,-0.870402,0.0365711,-0.757759
117647949485,-0.854254,0.0429465,-0.73178
117647971894,-0.82242,0.0508471,-0.698496
117647988306,-0.779473,0.0621577,-0.652413
117648002661,-0.723742,0.0777679,-0.588529
117648025982,-0.65176,0.0942276,-0.50669
117648048267,-0.569174,0.105662,-0.410413
117648062710,-0.479955,0.110952,-0.305069
117648085859,-0.387104,0.108455,-0.193271
117648108356,-0.291081,0.100251,-0.0795686
117648129490,-0.204501,0.0911778,0.0367048
117648145712,-0.127235,0.0808451,0.159066
117648168272,-0.0560394,0.0685122,0.277826
117648189370,0.00518848,0.0575778,0.386979
117648205919,0.0555277,0.0483896,0.486001
117648228258,0.0988925,0.0414759,0.572056
117648249460,0.139838,0.0408916,0.643579
117648265959,0.174106,0.0453643,0.699704
117648288268,0.200682,0.0520357,0.744697
117648309690,0.228092,0.0594089,0.786807
117648325851,0.256579,0.0596616,0.82374
117648348243,0.267554,0.0581341,0.853707
117648369311,0.273766,0.0551137,0.879303
117648385778,0.288179,0.0545983,0.897359
117648408281,0.301189,0.0576207,0.90599
117648429443,0.307632,0.0606598,0.906189
117648445744,0.307031,0.0608013,0.898488
117648468297,0.301634,0.0586762,0.887884
117648489335,0.291958,0.0572444,0.878351
117648505829,0.282151,0.0553357,0.870459
117648528282,0.277531,0.0531964,0.863483
117648549317,0.27786,0.0527052,0.860705
117648565796,0.282398,0.0552203,0.862051
117648588254,0.288488,0.0583187,0.863933
117648609277,0.289734,0.0597078,0.864542
117648625748,0.285261,0.0602005,0.865004
117648648247,0.282059,0.0610044,0.865901
117648670729,0.287408,0.0633347,0.867877
117648685787,0.296682,0.06509,0.870873
117648708248,0.301851,0.0650043,0.873963
117648729303,0.300211,0.0631639,0.877034
117648745085,0.298764,0.0615678,0.879614
117648768292,0.302304,0.0606305,0.881307
117648789364,0.306053,0.0591444,0.882246
117648805760,0.306244,0.0559254,0.883094
117648828242,0.304354,0.053032,0.884762
117648849339,0.304543,0.0514434,0.887498
117648865782,0.306186,0.0502113,0.890743
117648888264,0.307172,0.0485123,0.893728
117648926286,0.306644,0.0465776,0.896497
117648928643,0.306217,0.0456461,0.899578
117648948278,0.307653,0.0454989,0.902421
117648970733,0.309568,0.0449958,0.906244
117648985821,0.309752,0.044866,0.910201
117649008943,0.307397,0.0449837,0.913571
117649030808,0.305779,0.045465,0.915681
117649045752,0.30612,0.0464422,0.918365
117649068270,0.306582,0.0474994,0.92188
117649090731,0.306238,0.0491134,0.925439
117649105062,0.305827,0.0506778,0.928557
117649128274,0.304806,0.0518495,0.931676
