timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
12901298342,-3,-9,-15,-5,-1,-2,-1,0
12901311850,2,13,5,0,1,2,1,-1
12901311850,0,10,6,1,0,2,1,1
12901312644,-5,3,32,7,1,-3,-2,-4
12901312644,-1,7,7,1,2,-2,0,0
12901334462,-4,0,-11,-3,-5,-2,-2,-1
12901334462,2,3,-5,0,-1,-1,-2,0
12901335133,1,0,-18,0,-2,0,1,-1
12901335133,-3,-6,6,-6,-2,-1,-3,-3
12901357651,-1,-2,3,-3,0,-3,-1,-1
12901357651,-1,-2,-12,1,0,0,-1,0
12901358353,-1,2,0,-2,0,1,0,-1
12901358353,-3,-8,-17,-3,-3,-1,-3,-1
12901371922,1,0,-5,-1,-3,-1,-1,0
12901371922,-4,-9,15,-7,-1,-3,-3,-2
12901372622,-1,0,1,-5,-2,-3,0,-1
12901372622,9,30,-10,8,2,0,3,2
12901394476,-1,3,6,-4,-1,-1,-1,-1
12901394476,-3,-7,-23,4,-2,-1,-1,-1
12901395159,2,-1,-8,-5,0,1,1,0
12901395159,-3,-3,5,0,-2,-2,0,-1
12901416884,-2,0,-30,-1,-1,0,-2,-1
12901416884,2,7,39,8,3,-1,0,-1
12901418034,-4,21,-1,-2,1,2,0,0
12901418034,-3,-10,-10,-1,-2,-2,-3,-2
12901431840,1,-5,8,3,-3,-2,-1,-1
12901431840,-1,-6,-20,-5,1,-2,1,0
12901432589,-7,7,2,4,2,0,1,0
12901432589,-2,1,10,-2,-5,0,-2,-2
12901454492,1,3,-9,-6,1,0,-1,0
12901454492,1,-7,6,-1,-2,-2,0,-2
12901455197,-2,-16,-24,-7,-4,-2,-3,-2
12901455197,-2,-1,1,2,1,-1,0,-2
12901477560,-3,1,38,2,-2,0,-1,-2
12901477560,0,6,-20,-5,-2,-2,-1,0
12901478301,1,-7,-30,-10,-1,1,-1,-1
12901478301,-2,-10,12,2,-1,-1,-3,0
12901491954,3,10,-3,-6,-3,-2,0,1
12901491954,-2,3,-10,-3,-2,-1,-2,-3
12901492648,2,-5,32,5,-3,-2,-2,-1
12901492648,-2,-9,-25,-4,-2,-2,-1,-1
12901514455,-2,-7,8,1,0,1,-1,-3
12901514455,0,22,-9,-3,-1,1,-2,0
12901515132,1,9,6,-2,1,0,1,-1
12901515132,-1,-1,3,-1,-1,-1,-2,-2
12901536898,0,-1,-1,0,2,-2,-1,-1
12901536898,-2,-7,0,1,-4,-3,-1,1
12901537584,0,-14,-13,-10,-2,-1,-3,-1
12901537584,1,12,6,1,-2,1,0,0
12901551160,-4,-9,15,-9,-4,-2,-1,-2
12901551160,-3,-7,7,2,1,-1,-3,-2
12901559494,-3,-4,-1,7,0,-3,0,-1
12901559494,1,-5,-3,-4,0,0,-2,0
12901574457,-2,-1,-31,-2,-2,0,-2,2
12901574457,-1,-5,0,-8,-2,-3,-3,-1
12901575132,-3,-3,6,-3,-5,-3,-1,-2
12901575132,-2,3,7,6,1,0,0,0
12901596928,1,2,19,12,3,-1,-3,0
12901596928,-2,-1,-14,-4,-1,0,-1,-3
12901597624,1,-2,-8,-5,-3,-2,-1,0
12901597624,-2,-9,-3,-1,2,1,0,-1
